1	122.810	1.157
2	73.167	1.169
3	69.228	1.219
4	67.301	1.201
5	64.696	1.189
6	61.228	1.174
7	57.524	1.176
8	54.033	1.169
9	50.787	1.163
10	47.851	1.157
11	46.373	1.174
12	45.401	1.183
13	44.503	1.186
14	43.815	1.184
15	43.074	1.180
16	42.321	1.178
17	41.586	1.175
18	40.953	1.170
19	40.524	1.180
20	40.256	1.187
21	39.756	1.184
22	39.144	1.180
23	38.462	1.177
24	37.778	1.166
25	37.174	1.169
26	36.663	1.166
27	35.986	1.164
28	35.317	1.162
29	34.688	1.154
30	34.197	1.156
31	33.786	1.157
32	33.422	1.158
33	33.068	1.157
34	32.740	1.158
35	32.438	1.158
36	32.143	1.158
37	31.884	1.166
38	31.622	1.173
39	31.438	1.174
40	31.142	1.175
41	30.950	1.170
42	30.758	1.169
43	30.561	1.172
44	30.285	1.169
45	30.097	1.168
46	29.832	1.164
47	29.581	1.167
48	29.411	1.170
49	29.247	1.172
50	29.085	1.174
51	28.930	1.175
52	28.721	1.178
53	28.580	1.179
54	28.442	1.180
55	28.312	1.187
56	28.139	1.194
57	27.973	1.197
58	27.819	1.196
59	27.675	1.194
60	27.496	1.194
61	27.285	1.194
62	27.093	1.194
63	26.911	1.194
64	26.705	1.196
65	26.516	1.197
66	26.304	1.196
67	26.108	1.197
68	25.929	1.197
69	25.730	1.198
70	25.577	1.198
71	25.403	1.200
72	25.245	1.201
73	25.100	1.202
74	24.941	1.204
75	24.790	1.205
76	24.655	1.206
77	24.506	1.208
78	24.391	1.207
79	24.262	1.208
80	24.145	1.212
81	24.039	1.215
82	23.922	1.218
83	23.813	1.221
84	23.712	1.224
85	23.621	1.227
86	23.523	1.230
87	23.430	1.237
88	23.331	1.243
89	23.238	1.247
90	23.139	1.250
91	23.048	1.251
92	22.967	1.252
93	22.967	1.252
94	22.967	1.252
95	22.967	1.252
96	22.967	1.252
97	22.967	1.252
98	22.967	1.252
99	22.967	1.252
100	22.967	1.252
